Type,Team,Position,Name,DOB
Caps,Nigeria,DF,Elderson Echi_jil_,1/20/88
Caps,Nigeria,DF,Kenneth Omeruo,10/17/93
Caps,Nigeria,DF,Leon Balogun,6/28/88
Caps,Nigeria,DF,Shehu Abdullahi,3/12/93
Caps,Nigeria,DF,Tyronne Ebuehi,12/16/95
Caps,Nigeria,DF,William Troost-Ekong,9/1/93
Caps,Nigeria,FW,Ahmed Musa,10/14/92
Caps,Nigeria,FW,Kelechi Iheanacho,10/3/96
Caps,Nigeria,FW,Odion Ighalo,6/16/89
Caps,Nigeria,FW,Simeon Nwankwo,5/7/92
Caps,Nigeria,GK,Daniel Akpeyi,8/3/86
Caps,Nigeria,GK,Francis Uzoho,10/28/98
Caps,Nigeria,GK,Ikechukwu Ezenwa,10/16/88
Caps,Nigeria,MF,Alex Iwobi,5/3/96
Caps,Nigeria,MF,Joel Obi,5/22/91
Caps,Nigeria,MF,John Obi Mikel (captain),4/22/87
Caps,Nigeria,MF,John Ogu,4/20/88
Caps,Nigeria,MF,Ogenyi Onazi,12/25/92
Caps,Nigeria,MF,Oghenekaro Etebo,11/9/95
Caps,Nigeria,MF,Victor Moses,12/12/90
Caps,Nigeria,MF,Wilfred Ndidi,12/16/96
Caps,Brazil,DF,Danilo,7/15/91
Caps,Brazil,DF,Fagner,6/11/89
Caps,Brazil,DF,Filipe Lu’s,8/9/85
Caps,Brazil,DF,Marcelo,5/12/88
Caps,Brazil,DF,Marquinhos,5/14/94
Caps,Brazil,DF,Miranda,9/7/84
Caps,Brazil,DF,Pedro Geromel,9/21/85
Caps,Brazil,DF,Thiago Silva,9/22/84
Caps,Brazil,FW,Douglas Costa,9/14/90
Caps,Brazil,FW,Gabriel Jesus,4/3/97
Caps,Brazil,FW,Neymar,2/5/92
Caps,Brazil,FW,Roberto Firmino,10/2/91
Caps,Brazil,FW,Taison,1/13/88
Caps,Brazil,GK,Alisson,10/2/92
Caps,Brazil,GK,C‡ssio,6/6/87
Caps,Brazil,GK,Ederson,8/17/93
Caps,Brazil,MF,Casemiro,2/23/92
Caps,Brazil,MF,Fernandinho,5/4/85
Caps,Brazil,MF,Fred,3/5/93
Caps,Brazil,MF,Paulinho,7/25/88
Caps,Brazil,MF,Philippe Coutinho,6/12/92
Caps,Brazil,MF,Renato Augusto,2/8/88
Caps,Brazil,MF,Willian,8/9/88
Caps,Costa Rica,DF,Bryan Oviedo,2/18/90
Caps,Costa Rica,DF,Cristian Gamboa,10/24/89
Caps,Costa Rica,DF,Francisco Calvo,7/8/92
Caps,Costa Rica,DF,Giancarlo Gonz‡lez,2/8/88
Caps,Costa Rica,DF,Ian Smith,3/6/98
Caps,Costa Rica,DF,Johnny Acosta,7/21/83
Caps,Costa Rica,DF,Kendall Waston,1/1/88
Caps,Costa Rica,DF,îscar Duarte,6/3/89
Caps,Costa Rica,DF,R—nald Matarrita,7/9/94
Caps,Costa Rica,FW,Bryan Ruiz (captain),8/18/85
Caps,Costa Rica,FW,Joel Campbell,6/26/92
Caps,Costa Rica,FW,Johan Venegas,11/27/88
Caps,Costa Rica,FW,Marco Ure–a,3/5/90
Caps,Costa Rica,GK,Keylor Navas,12/15/86
Caps,Costa Rica,GK,Leonel Moreira,4/2/90
Caps,Costa Rica,GK,Patrick Pemberton,5/24/82
Caps,Costa Rica,MF,Celso Borges,5/27/88
Caps,Costa Rica,MF,Christian Bola–os,5/30/84
Caps,Costa Rica,MF,Daniel Colindres,5/28/85
Caps,Costa Rica,MF,David Guzm‡n,2/18/90
Caps,Costa Rica,MF,Randall Azofeifa,12/30/84
Caps,Costa Rica,MF,Rodney Wallace,6/17/88
Caps,Costa Rica,MF,Yeltsin Tejeda,3/17/92
Caps,Serbia,DF,Aleksandar Kolarov (captain),11/10/85
Caps,Serbia,DF,Antonio Rukavina,1/26/84
Caps,Serbia,DF,Branislav Ivanovi_,2/22/84
Caps,Serbia,DF,Du_ko To_i_,1/19/85
Caps,Serbia,DF,Milan Rodi_,4/2/91
Caps,Serbia,DF,Milo_ Veljkovi_,9/26/95
Caps,Serbia,DF,Nikola Milenkovi_,10/12/97
Caps,Serbia,DF,Uro_ Spaji_,2/13/93
Caps,Serbia,FW,Aleksandar Mitrovi_,9/16/94
Caps,Serbia,FW,Aleksandar Prijovi_,4/21/90
Caps,Serbia,FW,Luka Jovi_,12/23/97
Caps,Serbia,GK,Marko Dmitrovi_,1/24/92
Caps,Serbia,GK,Predrag Rajkovi_,10/31/95
Caps,Serbia,GK,Vladimir Stojkovi_,7/28/83
Caps,Serbia,MF,Adem Ljaji_,9/29/91
Caps,Serbia,MF,Andrija _ivkovi_,7/11/96
Caps,Serbia,MF,Du_an Tadi_,11/20/88
Caps,Serbia,MF,Filip Kosti_,11/1/92
Caps,Serbia,MF,Luka Milivojevi_,4/7/91
Caps,Serbia,MF,Marko Gruji_,4/13/96
Caps,Serbia,MF,Nemanja Mati_,8/1/88
Caps,Serbia,MF,Nemanja Radonji_,2/15/96
Caps,Serbia,MF,Sergej Milinkovi_-Savi_,2/27/95
Caps,Switzerland,DF,Fabian Sch_r,12/20/91
Caps,Switzerland,DF,François Moubandje,6/21/90
Caps,Switzerland,DF,Johan Djourou,1/18/87
Caps,Switzerland,DF,Manuel Akanji,7/19/95
Caps,Switzerland,DF,Michael Lang,2/8/91
Caps,Switzerland,DF,Nico Elvedi,9/30/96
Caps,Switzerland,DF,Ricardo Rodr’guez,8/25/92
Caps,Switzerland,DF,Stephan Lichtsteiner (captain),1/16/84
Caps,Switzerland,FW,Breel Embolo,2/14/97
Caps,Switzerland,FW,Haris Seferovi_,2/22/92
Caps,Switzerland,FW,Josip Drmi_,8/8/92
Caps,Switzerland,FW,Mario Gavranovi_,11/24/89
Caps,Switzerland,GK,Roman BŸrki,11/14/90
Caps,Switzerland,GK,Yann Sommer,12/17/88
Caps,Switzerland,GK,Yvon Mvogo,6/6/94
Caps,Switzerland,MF,Blerim D_emaili,4/12/86
Caps,Switzerland,MF,Denis Zakaria,11/20/96
Caps,Switzerland,MF,Gelson Fernandes,9/2/86
Caps,Switzerland,MF,Granit Xhaka,9/27/92
Caps,Switzerland,MF,Remo Freuler,4/15/92
Caps,Switzerland,MF,Steven Zuber,8/17/91
Caps,Switzerland,MF,Valon Behrami,4/19/85
Caps,Switzerland,MF,Xherdan Shaqiri,10/10/91
Caps,Germany,DF,Antonio RŸdiger,3/3/93
Caps,Germany,DF,J_r™me Boateng,9/3/88
Caps,Germany,DF,Jonas Hector,5/27/90
Caps,Germany,DF,Joshua Kimmich,2/8/95
Caps,Germany,DF,Marvin Plattenhardt,1/26/92
Caps,Germany,DF,Mats Hummels,12/16/88
Caps,Germany,DF,Matthias Ginter,1/19/94
Caps,Germany,DF,Niklas SŸle,9/3/95
Caps,Germany,FW,Mario G—mez,7/10/85
Caps,Germany,FW,Thomas MŸller,9/13/89
Caps,Germany,FW,Timo Werner,3/6/96
Caps,Germany,GK,Kevin Trapp,7/8/90
Caps,Germany,GK,Manuel Neuer (captain),3/27/86
Caps,Germany,GK,Marc-Andr_ ter Stegen,4/30/92
Caps,Germany,MF,_lkay GŸndo_an,10/24/90
Caps,Germany,MF,Julian Brandt,5/2/96
Caps,Germany,MF,Julian Draxler,9/20/93
Caps,Germany,MF,Leon Goretzka,2/6/95
Caps,Germany,MF,Marco Reus,5/31/89
Caps,Germany,MF,Mesut …zil,10/15/88
Caps,Germany,MF,Sami Khedira,4/4/87
Caps,Germany,MF,Sebastian Rudy,2/28/90
Caps,Germany,MF,Toni Kroos,1/4/90
Caps,Mexico,DF,Carlos Salcedo,9/29/93
Caps,Mexico,DF,Diego Reyes,9/19/92
Caps,Mexico,DF,Edson çlvarez,10/24/97
Caps,Mexico,DF,H_ctor Moreno,1/17/88
Caps,Mexico,DF,Hugo Ayala,3/31/87
Caps,Mexico,DF,Jesœs Gallardo,8/14/94
Caps,Mexico,DF,Miguel Layœn,6/25/88
Caps,Mexico,FW,Carlos Vela,3/1/89
Caps,Mexico,FW,Hirving Lozano,7/30/95
Caps,Mexico,FW,Javier Aquino,2/11/90
Caps,Mexico,FW,Javier Hern‡ndez,6/1/88
Caps,Mexico,FW,Jesœs Manuel Corona,1/6/93
Caps,Mexico,FW,Oribe Peralta,1/12/84
Caps,Mexico,FW,Raœl Jim_nez,5/5/91
Caps,Mexico,GK,Alfredo Talavera,9/18/82
Caps,Mexico,GK,Guillermo Ochoa,7/13/85
Caps,Mexico,GK,Jos_ de Jesœs Corona,1/28/81
Caps,Mexico,MF,Andr_s Guardado (captain),9/28/86
Caps,Mexico,MF,Giovani dos Santos,5/11/89
Caps,Mexico,MF,H_ctor Herrera,4/19/90
Caps,Mexico,MF,Jonathan dos Santos,4/26/90
Caps,Mexico,MF,Marco Fabi‡n,7/21/89
Caps,Mexico,MF,Rafael M‡rquez,2/13/79
Caps,South Korea,DF,Go Yo-han,3/10/88
Caps,South Korea,DF,Hong Chul,9/17/90
Caps,South Korea,DF,Jang Hyun-soo,9/28/91
Caps,South Korea,DF,Jung Seung-hyun,4/3/94
Caps,South Korea,DF,Kim Min-woo,2/25/90
Caps,South Korea,DF,Kim Young-gwon,2/27/90
Caps,South Korea,DF,Lee Yong,12/24/86
Caps,South Korea,DF,Oh Ban-suk,5/20/88
Caps,South Korea,DF,Park Joo-ho,1/16/87
Caps,South Korea,DF,Yun Young-sun,10/4/88
Caps,South Korea,FW,Hwang Hee-chan,1/26/96
Caps,South Korea,FW,Kim Shin-wook,4/14/88
Caps,South Korea,FW,Son Heung-min,7/8/92
Caps,South Korea,GK,Cho Hyun-woo,9/25/91
Caps,South Korea,GK,Kim Jin-hyeon,7/6/87
Caps,South Korea,GK,Kim Seung-gyu,9/30/90
Caps,South Korea,MF,Ju Se-jong,10/30/90
Caps,South Korea,MF,Jung Woo-young,12/14/89
Caps,South Korea,MF,Ki Sung-yueng (captain),1/24/89
Caps,South Korea,MF,Koo Ja-cheol,2/27/89
Caps,South Korea,MF,Lee Jae-sung,8/10/92
Caps,South Korea,MF,Lee Seung-woo,1/6/98
Caps,South Korea,MF,Moon Seon-min,6/9/92
Caps,Sweden,DF,Andreas Granqvist (captain),4/16/85
Caps,Sweden,DF,Emil Krafth,8/2/94
Caps,Sweden,DF,Filip Helander,4/22/93
Caps,Sweden,DF,Ludwig Augustinsson,4/21/94
Caps,Sweden,DF,Martin Olsson,5/17/88
Caps,Sweden,DF,Mikael Lustig,12/13/86
Caps,Sweden,DF,Pontus Jansson,2/13/91
Caps,Sweden,DF,Victor Lindel_f,7/17/94
Caps,Sweden,FW,Isaac Kiese Thelin,6/24/92
Caps,Sweden,FW,John Guidetti,4/15/92
Caps,Sweden,FW,Marcus Berg,8/17/86
Caps,Sweden,FW,Ola Toivonen,7/3/86
Caps,Sweden,GK,Karl-Johan Johnsson,1/28/90
Caps,Sweden,GK,Kristoffer Nordfeldt,6/23/89
Caps,Sweden,GK,Robin Olsen,1/8/90
Caps,Sweden,MF,Albin Ekdal,7/28/89
Caps,Sweden,MF,Emil Forsberg,10/23/91
Caps,Sweden,MF,Gustav Svensson,2/7/87
Caps,Sweden,MF,Jimmy Durmaz,3/22/89
Caps,Sweden,MF,Marcus Rohd_n,5/11/91
Caps,Sweden,MF,Oscar Hiljemark,6/28/92
Caps,Sweden,MF,Sebastian Larsson,6/6/85
Caps,Sweden,MF,Viktor Claesson,1/2/92
Caps,Belgium,DF,Dedryck Boyata,11/28/90
Caps,Belgium,DF,Jan Vertonghen,4/24/87
Caps,Belgium,DF,Thomas Meunier,9/12/91
Caps,Belgium,DF,Thomas Vermaelen,11/14/85
Caps,Belgium,DF,Toby Alderweireld,3/2/89
Caps,Belgium,DF,Vincent Kompany,4/10/86
Caps,Belgium,FW,Dries Mertens,5/6/87
Caps,Belgium,FW,Michy Batshuayi,10/2/93
Caps,Belgium,FW,Romelu Lukaku,5/13/93
Caps,Belgium,GK,Koen Casteels,6/25/92
Caps,Belgium,GK,Simon Mignolet,3/6/88
Caps,Belgium,GK,Thibaut Courtois,5/11/92
Caps,Belgium,MF,Adnan Januzaj,2/5/95
Caps,Belgium,MF,Axel Witsel,1/12/89
Caps,Belgium,MF,Eden Hazard (captain),1/7/91
Caps,Belgium,MF,Kevin De Bruyne,6/28/91
Caps,Belgium,MF,Leander Dendoncker,4/15/95
Caps,Belgium,MF,Marouane Fellaini,11/22/87
Caps,Belgium,MF,Mousa Demb_l_,7/16/87
Caps,Belgium,MF,Nacer Chadli,8/2/89
Caps,Belgium,MF,Thorgan Hazard,3/29/93
Caps,Belgium,MF,Yannick Carrasco,9/4/93
Caps,Belgium,MF,Youri Tielemans,5/7/97
Caps,England,DF,Ashley Young,7/9/85
Caps,England,DF,Danny Rose,7/2/90
Caps,England,DF,Fabian Delph,11/21/89
Caps,England,DF,Gary Cahill,12/19/85
Caps,England,DF,Harry Maguire,3/5/93
Caps,England,DF,John Stones,5/28/94
Caps,England,DF,Kieran Trippier,9/19/90
Caps,England,DF,Kyle Walker,5/28/90
Caps,England,DF,Phil Jones,2/21/92
Caps,England,DF,Trent Alexander-Arnold,10/7/98
Caps,England,FW,Danny Welbeck,11/26/90
Caps,England,FW,Harry Kane (captain),7/28/93
Caps,England,FW,Jamie Vardy,1/11/87
Caps,England,FW,Marcus Rashford,10/31/97
Caps,England,FW,Raheem Sterling,12/8/94
Caps,England,GK,Jack Butland,3/10/93
Caps,England,GK,Jordan Pickford,3/7/94
Caps,England,GK,Nick Pope,4/19/92
Caps,England,MF,Dele Alli,4/11/96
Caps,England,MF,Eric Dier,1/15/94
Caps,England,MF,Jesse Lingard,12/15/92
Caps,England,MF,Jordan Henderson,6/17/90
Caps,England,MF,Ruben Loftus-Cheek,1/23/96
Caps,Panama,DF,Adolfo Machado,2/14/85
Caps,Panama,DF,Erick Davis,3/31/91
Caps,Panama,DF,Felipe Baloy (captain),2/24/81
Caps,Panama,DF,Fidel Escobar,1/9/95
Caps,Panama,DF,Harold Cummings,3/1/92
Caps,Panama,DF,Luis Ovalle,9/7/88
Caps,Panama,DF,Michael Amir Murillo,2/15/96
Caps,Panama,DF,Rom‡n Torres,3/20/86
Caps,Panama,FW,Abdiel Arroyo,12/13/93
Caps,Panama,FW,Blas P_rez,3/13/81
Caps,Panama,FW,Gabriel Torres,10/31/88
Caps,Panama,FW,Ismael D’az,5/12/97
Caps,Panama,FW,Luis Tejada,3/28/82
Caps,Panama,GK,çlex Rodr’guez,8/5/90
Caps,Panama,GK,Jaime Penedo,9/26/81
Caps,Panama,GK,Jos_ Calder—n,8/14/85
Caps,Panama,MF,Alberto Quintero,12/18/87
Caps,Panama,MF,An’bal Godoy,2/10/90
Caps,Panama,MF,Armando Cooper,11/26/87
Caps,Panama,MF,ƒdgar B‡rcenas,10/23/93
Caps,Panama,MF,Gabriel G—mez,5/29/84
Caps,Panama,MF,Jos_ Luis Rodr’guez,6/19/98
Caps,Panama,MF,Valent’n Pimentel,5/30/91
Caps,Tunisia,DF,Ali Ma‰loul,1/1/90
Caps,Tunisia,DF,Dylan Bronn,6/19/95
Caps,Tunisia,DF,Hamdi Nagguez,10/28/92
Caps,Tunisia,DF,Oussama Haddadi,1/28/92
Caps,Tunisia,DF,Rami Bedoui,1/19/90
Caps,Tunisia,DF,Syam Ben Youssef,3/31/89
Caps,Tunisia,DF,Yassine Meriah,7/2/93
Caps,Tunisia,DF,Yohan Benalouane,3/28/87
Caps,Tunisia,FW,Anice Badri,8/18/90
Caps,Tunisia,FW,Bassem Srarfi,6/25/97
Caps,Tunisia,FW,Fakhreddine Ben Youssef,6/21/91
Caps,Tunisia,FW,Saber Khalifa,10/14/86
Caps,Tunisia,FW,Wahbi Khazri,2/8/91
Caps,Tunisia,GK,Aymen Mathlouthi (captain),9/14/84
Caps,Tunisia,GK,Farouk Ben Mustapha,7/1/89
Caps,Tunisia,GK,Mouez Hassen,3/5/95
Caps,Tunisia,MF,Ahmed Khalil,12/21/94
Caps,Tunisia,MF,Ellyes Skhiri,5/10/95
Caps,Tunisia,MF,Ferjani Sassi,3/18/92
Caps,Tunisia,MF,Ghailene Chaalali,2/28/94
Caps,Tunisia,MF,Mohamed Amine Ben Amor,1/1/92
Caps,Tunisia,MF,Na•m Sliti,7/27/92
Caps,Tunisia,MF,Sa”f-Eddine Khaoui,4/27/95
Caps,Colombia,DF,Cristi‡n Zapata,9/30/86
Caps,Colombia,DF,D‡vinson S‡nchez,5/12/96
Caps,Colombia,DF,Frank Fabra,2/22/91
Caps,Colombia,DF,Johan Mojica,8/21/91
Caps,Colombia,DF,îscar Murillo,4/18/88
Caps,Colombia,DF,Santiago Arias,1/13/92
Caps,Colombia,DF,Yerry Mina,9/23/94
Caps,Colombia,FW,Carlos Bacca,9/8/86
Caps,Colombia,FW,Luis Muriel,4/16/91
Caps,Colombia,FW,Miguel Borja,1/26/93
Caps,Colombia,FW,Radamel Falcao (captain),2/10/86
Caps,Colombia,GK,Camilo Vargas,3/9/89
Caps,Colombia,GK,David Ospina,8/31/88
Caps,Colombia,GK,Jos_ Fernando Cuadrado,6/1/85
Caps,Colombia,MF,Abel Aguilar,1/6/85
Caps,Colombia,MF,Carlos S‡nchez,2/6/86
Caps,Colombia,MF,James Rodr’guez,7/12/91
Caps,Colombia,MF,Jefferson Lerma,10/25/94
Caps,Colombia,MF,Jos_ Izquierdo,7/7/92
Caps,Colombia,MF,Juan Cuadrado,5/26/88
Caps,Colombia,MF,Juan Fernando Quintero,1/18/93
Caps,Colombia,MF,Mateus Uribe,3/21/91
Caps,Colombia,MF,W’lmar Barrios,10/16/93
Caps,Japan,DF,Gen Shoji,12/11/92
Caps,Japan,DF,G_toku Sakai,3/14/91
Caps,Japan,DF,Hiroki Sakai,4/12/90
Caps,Japan,DF,Maya Yoshida,8/24/88
Caps,Japan,DF,Naomichi Ueda,10/24/94
Caps,Japan,DF,Tomoaki Makino,5/11/87
Caps,Japan,DF,Wataru Endo,2/9/93
Caps,Japan,DF,Yuto Nagatomo,9/12/86
Caps,Japan,FW,Shinji Okazaki,4/16/86
Caps,Japan,FW,Yoshinori Mut_,7/15/92
Caps,Japan,FW,Yuya Osako,5/18/90
Caps,Japan,GK,Eiji Kawashima,3/20/83
Caps,Japan,GK,Kosuke Nakamura,2/27/95
Caps,Japan,GK,Masaaki Higashiguchi,5/12/86
Caps,Japan,MF,Gaku Shibasaki,5/28/92
Caps,Japan,MF,Genki Haraguchi,5/9/91
Caps,Japan,MF,Hotaru Yamaguchi,10/6/90
Caps,Japan,MF,Keisuke Honda,6/13/86
Caps,Japan,MF,Makoto Hasebe (captain),1/18/84
Caps,Japan,MF,Ryota Oshima,1/23/93
Caps,Japan,MF,Shinji Kagawa,3/17/89
Caps,Japan,MF,Takashi Inui,6/2/88
Caps,Japan,MF,Takashi Usami,5/6/92
Caps,Poland,DF,Artur J_drzejczyk,11/4/87
Caps,Poland,DF,Bartosz Bereszy_ski,7/12/92
Caps,Poland,DF,Jan Bednarek,4/12/96
Caps,Poland,DF,Kamil Glik,2/3/88
Caps,Poland,DF,_ukasz Piszczek,6/3/85
Caps,Poland,DF,Micha_ Pazdan,9/21/87
Caps,Poland,DF,Thiago Cionek,4/21/86
Caps,Poland,FW,Arkadiusz Milik,2/28/94
Caps,Poland,FW,Dawid Kownacki,3/14/97
Caps,Poland,FW,_ukasz Teodorczyk,6/3/91
Caps,Poland,FW,Robert Lewandowski (captain),8/21/88
Caps,Poland,GK,Bartosz Bia_kowski,10/1/94
Caps,Poland,GK,_ukasz Fabia_ski,7/29/93
Caps,Poland,GK,Wojciech Szcz_sny,1/1/84
Caps,Poland,MF,Grzegorz Krychowiak,1/29/90
Caps,Poland,MF,Jacek G—ralski,9/21/92
Caps,Poland,MF,Jakub B_aszczykowski,12/14/85
Caps,Poland,MF,Kamil Grosicki,6/8/88
Caps,Poland,MF,Karol Linetty,2/2/95
Caps,Poland,MF,Maciej Rybus,8/19/89
Caps,Poland,MF,Piotr Zieli_ski,5/20/94
Caps,Poland,MF,Rafa_ Kurzawa,1/29/93
Caps,Poland,MF,S_awomir Peszko,2/19/85
Caps,Senegal,DF,Kalidou Koulibaly,6/20/91
Caps,Senegal,DF,Kara Mbodji,11/11/89
Caps,Senegal,DF,Lamine Gassama,10/20/89
Caps,Senegal,DF,Moussa Wagu_,10/4/98
Caps,Senegal,DF,Salif San_,8/25/90
Caps,Senegal,DF,Saliou Ciss,9/15/89
Caps,Senegal,DF,Youssouf Sabaly,3/5/93
Caps,Senegal,FW,Diafra Sakho,12/24/89
Caps,Senegal,FW,Isma•la Sarr,2/25/98
Caps,Senegal,FW,Keita Bald_,3/8/95
Caps,Senegal,FW,Mame Biram Diouf,12/16/87
Caps,Senegal,FW,M'Baye Niang,12/19/94
Caps,Senegal,FW,Moussa Konat_,4/3/93
Caps,Senegal,FW,Moussa Sow,1/19/86
Caps,Senegal,FW,Sadio Man_,4/10/92
Caps,Senegal,GK,Abdoulaye Diallo,3/30/92
Caps,Senegal,GK,Alfred Gomis,5/31/84
Caps,Senegal,GK,Khadim N'Diaye,4/5/85
Caps,Senegal,MF,Alfred N'Diaye,3/6/90
Caps,Senegal,MF,Badou Ndiaye,10/27/90
Caps,Senegal,MF,Cheikh N'Doye,3/29/86
Caps,Senegal,MF,Cheikhou Kouyat_ (captain),12/21/89
Caps,Senegal,MF,Idrissa Gueye,9/26/89
